Run,Inference Time (s)
1,0.17229533195495605
2,0.08513188362121582
3,0.041712045669555664
4,0.06586074829101562
5,0.047540903091430664
6,0.04917716979980469
7,0.038641929626464844
8,0.02427816390991211
9,0.03153586387634277
10,0.031983137130737305
11,0.02454209327697754
12,0.04337310791015625
13,0.03392791748046875
14,0.025627851486206055
15,0.030050992965698242
16,0.024094820022583008
17,0.08628296852111816
18,0.07011985778808594
19,0.046838998794555664
20,0.03142690658569336
21,0.02736496925354004
22,0.03342008590698242
23,0.04034304618835449
24,0.04442286491394043
25,0.030250072479248047
26,0.030796051025390625
27,0.033525943756103516
28,0.03828096389770508
29,0.0271451473236084
30,0.06744217872619629
31,0.03808426856994629
32,0.029069900512695312
33,0.02563786506652832
34,0.07594799995422363
35,0.02374410629272461
36,0.03851175308227539
37,0.033393144607543945
38,0.028186321258544922
39,0.039347171783447266
40,0.04225611686706543
41,0.023551225662231445
42,0.041029930114746094
43,0.043125152587890625
44,0.04053688049316406
45,0.023933887481689453
46,0.12461113929748535
47,0.058741092681884766
48,0.038603782653808594
49,0.024023056030273438
50,0.04676413536071777
51,0.05418586730957031
52,0.05049300193786621
53,0.04335379600524902
54,0.056223154067993164
55,0.0444180965423584
56,0.040812015533447266
57,0.03843212127685547
58,0.05299711227416992
59,0.07232427597045898
60,0.0795278549194336
61,0.025388717651367188
62,0.03692197799682617
63,0.040882110595703125
64,0.03878211975097656
65,0.0569920539855957
66,0.028902292251586914
67,0.03391289710998535
68,0.03900480270385742
69,0.06598997116088867
70,0.04513096809387207
71,0.04557204246520996
72,0.05022931098937988
73,0.043296098709106445
74,0.027256011962890625
75,0.07871723175048828
76,0.0441131591796875
77,0.023388147354125977
78,0.04581809043884277
79,0.05062103271484375
80,0.0413968563079834
81,0.03993988037109375
82,0.02442789077758789
83,0.04049205780029297
84,0.04070591926574707
85,0.10065793991088867
86,0.04143714904785156
87,0.026634931564331055
88,0.05047297477722168
89,0.04090094566345215
90,0.04502296447753906
91,0.04223012924194336
92,0.05068016052246094
93,0.04341888427734375
94,0.0675511360168457
95,0.04553699493408203
96,0.043853044509887695
97,0.0509493350982666
98,0.03881216049194336
99,0.02329421043395996
100,0.07738590240478516
